82,35,10
55,26,27
48,33,5
6,6,67
75,64,56
21,11,50
45,40,100
45,11,23
19,93,65
98,89,56
69,40,74
21,5,80
11,8,64
44,84,54
74,86,32
86,34,29
23,2,5
93,48,72
20,69,82
65,89,46
13,50,21
10,40,100
7,75,65
16,4,49
52,67,62
46,34,82
14,64,90
38,70,89
53,2,26
45,52,21
7,47,52
73,3,10
56,90,49
67,18,62
30,70,51
60,53,30
71,47,67
5,51,25
68,62,31
62,67,33
14,52,12
30,65,43
15,50,42
70,79,56
87,32,57
44,20,24
77,23,67
27,26,36
24,32,15
2,2,22
62,38,100
91,7,51
12,24,29
27,58,23
97,17,57
4,97,47
74,45,51
53,91,90
29,25,58
66,65,20
33,43,36
26,12,43
47,39,74
63,46,65
40,18,37
61,8,7
85,91,14
84,5,81
97,81,86
96,92,12
64,99,61
10,32,23
5,6,31
68,69,60
61,61,4
51,67,73
79,94,15
41,67,44
66,77,85
25,98,36
93,39,33
86,15,84
76,85,69
51,54,34
1,24,16
80,81,4
50,12,33
87,71,85
69,97,43
34,93,33
1,72,56
75,46,77
98,41,8
24,28,31
16,48,11
18,36,72
21,28,48
72,9,21
92,17,95
59,98,54
43,86,3
